Namespace(config='config/covertype.yml', model_name='MLP', dataset='Covertype', objective='classification', use_gpu=True, gpu_ids=[0, 1], data_parallel=False, optimize_hyperparameters=False, n_trials=5, direction='minimize', num_splits=5, shuffle=True, seed=221, scale=True, target_encode=True, one_hot_encode=False, batch_size=16384, val_batch_size=16384, early_stopping_rounds=400, epochs=400, logging_period=100, num_features=54, num_classes=7, cat_idx=None, cat_dims=None)
Train model with given hyperparameters
Loading dataset Covertype...
Dataset loaded!
(581012, 54)
Having 7 classes as target.
Scaling the data...
On Device: cuda
On Device: cuda
Epoch 0, Val Loss: 1.84431
Epoch 1, Val Loss: 1.70798
Epoch 2, Val Loss: 1.68631
Epoch 3, Val Loss: 1.65691
Epoch 4, Val Loss: 1.62250
Epoch 5, Val Loss: 1.60902
Epoch 6, Val Loss: 1.59920
Epoch 7, Val Loss: 1.58993
Epoch 8, Val Loss: 1.58081
Epoch 9, Val Loss: 1.57517
Epoch 10, Val Loss: 1.57272
Epoch 11, Val Loss: 1.57064
Epoch 12, Val Loss: 1.56804
Epoch 13, Val Loss: 1.56673
Epoch 14, Val Loss: 1.56660
Epoch 15, Val Loss: 1.56475
Epoch 16, Val Loss: 1.56372
Epoch 17, Val Loss: 1.56411
Epoch 18, Val Loss: 1.56311
Epoch 19, Val Loss: 1.56180
Epoch 20, Val Loss: 1.56238
Epoch 21, Val Loss: 1.56160
Epoch 22, Val Loss: 1.56024
Epoch 23, Val Loss: 1.56094
Epoch 24, Val Loss: 1.56041
Epoch 25, Val Loss: 1.55887
Epoch 26, Val Loss: 1.55938
Epoch 27, Val Loss: 1.55929
Epoch 28, Val Loss: 1.55760
Epoch 29, Val Loss: 1.55786
Epoch 30, Val Loss: 1.55711
Epoch 31, Val Loss: 1.55625
Epoch 32, Val Loss: 1.55563
Epoch 33, Val Loss: 1.55583
Epoch 34, Val Loss: 1.55374
Epoch 35, Val Loss: 1.55445
Epoch 36, Val Loss: 1.55302
Epoch 37, Val Loss: 1.55410
Epoch 38, Val Loss: 1.55252
Epoch 39, Val Loss: 1.55376
Epoch 40, Val Loss: 1.55187
Epoch 41, Val Loss: 1.55298
Epoch 42, Val Loss: 1.55128
Epoch 43, Val Loss: 1.55243
Epoch 44, Val Loss: 1.55067
Epoch 45, Val Loss: 1.55156
Epoch 46, Val Loss: 1.55031
Epoch 47, Val Loss: 1.55080
Epoch 48, Val Loss: 1.54995
Epoch 49, Val Loss: 1.55003
Epoch 50, Val Loss: 1.54951
Epoch 51, Val Loss: 1.54960
Epoch 52, Val Loss: 1.54912
