Namespace(config='config/covertype.yml', model_name='MLP', dataset='Covertype', objective='classification', use_gpu=True, gpu_ids=[0, 1], data_parallel=False, optimize_hyperparameters=False, n_trials=5, direction='minimize', num_splits=5, shuffle=True, seed=221, scale=True, target_encode=True, one_hot_encode=False, batch_size=128, val_batch_size=256, early_stopping_rounds=20, epochs=400, logging_period=100, num_features=54, num_classes=7, cat_idx=None, cat_dims=None)
Train model with given hyperparameters
Loading dataset Covertype...
Dataset loaded!
(581012, 54)
Having 7 classes as target.
Scaling the data...
On Device: cuda
On Device: cuda
Epoch 0, Val Loss: 1.67330
Epoch 1, Val Loss: 1.57784
Epoch 2, Val Loss: 1.58453
Epoch 3, Val Loss: 1.87282
Epoch 4, Val Loss: 1.51344
Epoch 5, Val Loss: 1.52684
Epoch 6, Val Loss: 1.52776
Epoch 7, Val Loss: 1.50657
Epoch 8, Val Loss: 1.48605
Epoch 9, Val Loss: 1.49675
Epoch 10, Val Loss: 1.52145
Epoch 11, Val Loss: 1.49679
Epoch 12, Val Loss: 1.50341
Epoch 13, Val Loss: 1.85670
Epoch 14, Val Loss: 1.48643
Epoch 15, Val Loss: 1.47854
Epoch 16, Val Loss: 1.48129
Epoch 17, Val Loss: 1.48921
Epoch 18, Val Loss: 1.47912
Epoch 19, Val Loss: 1.47694
Epoch 20, Val Loss: 1.45922
Epoch 21, Val Loss: 1.47800
Epoch 22, Val Loss: 1.46735
Epoch 23, Val Loss: 1.47629
Epoch 24, Val Loss: 1.47910
Epoch 25, Val Loss: 1.46360
Epoch 26, Val Loss: 1.46899
Epoch 27, Val Loss: 1.47437
Epoch 28, Val Loss: 1.46445
Epoch 29, Val Loss: 1.48112
Epoch 30, Val Loss: 1.47182
Epoch 31, Val Loss: 1.47113
Epoch 32, Val Loss: 1.46701
Epoch 33, Val Loss: 1.77288
Epoch 34, Val Loss: 1.46563
Epoch 35, Val Loss: 1.65432
Epoch 36, Val Loss: 1.48747
Epoch 37, Val Loss: 1.59495
Epoch 38, Val Loss: 1.48134
Epoch 39, Val Loss: 1.48338
Epoch 40, Val Loss: 1.46321
Epoch 41, Val Loss: 1.47109
Validation loss has not improved for 20 steps!
Early stopping applies.
{'Log Loss - mean': 4.548336431834885, 'Log Loss - std': 0.0, 'AUC - mean': 0.5965557802974157, 'AUC - std': 0.0, 'Accuracy - mean': 0.706203798524995, 'Accuracy - std': 0.0, 'F1 score - mean': 0.67326928936988, 'F1 score - std': 0.0}
On Device: cuda
Epoch 0, Val Loss: 1.56522
Epoch 1, Val Loss: 1.54525
Epoch 2, Val Loss: 1.56003
